"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-01",,,"0.01","0.5","10.0","32","11"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-02",,,"0.00","0.0","10.0","28","8"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-03",,,"0.00","0.0","10.0","28","6"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-04",,,"0.00","0.0","10.0","27","13"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-05",,,"0.00","0.0","10.0","25","13"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-06",,,"0.04","0.4","10.0","31","19"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-07",,,"0.00","0.0","10.0","38","24"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-08",,,"0.00","0.0","10.0","37","12"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-09",,,"0.00","0.0","11.0","38","16"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-10",,,"0.00","0.3","11.0","36","27"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-11",,,"0.15","3.5","13.0","39","23"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-12",,,"0.01","1.0","15.0","36","24"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-13",,,"0.00","0.0","14.0","37","26"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-14",,,"0.00","0.0","12.0","44","31"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-15",,,"0.01","0.0","13.0","39","27"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-16",,,"0.13","2.0","15.0","32","25"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-17",,,"0.00","0.0","15.0","33","2"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-18",,,"0.00","0.0","14.0","27","3"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-19",,,"0.01","0.5","14.0","27","5"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-20",,,"0.00","0.0","14.0","32","12"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-21",,,"0.00","0.0","14.0","25","7"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-22",,,"0.00","0.0","13.0","26","7"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-23",,,"0.00","0.0","13.0","24","10"
"USC00489905","YELLOWSTONE PARK MAMMOTH, WY US","2023-01-24",,,"0.00","0.0","13.0","29","6"
